ds,yhat,yhat_lower,yhat_upper
2010-01-04,31.542108984336384,24.46348863340715,38.93642729351724
2010-01-05,31.589999574483475,24.421348192707494,38.78482944765545
2010-01-06,31.621663323468727,24.330838469205382,38.97781108788022
2010-01-07,31.656196776639266,24.268463272672097,39.34310848466827
2010-01-08,31.705316076292885,24.47954762413023,39.45823901433225
2010-01-11,31.817766505904476,24.240162211210436,38.660736683441144
2010-01-12,31.843206981263865,24.117240007415624,38.89778692426813
2010-01-13,31.851824259775725,24.67302892569727,38.98298997297208
2010-01-14,31.863276054703938,24.38202021092384,38.86925593632288
2010-01-15,31.889798814095762,24.682986601291258,39.51607528872143
2010-01-18,31.9417483458115,24.537946096626964,39.76341341004695
2010-01-19,31.95058083812085,24.608255547331964,39.60991314978282
2010-01-20,31.944750641496235,24.40684750206597,39.31390972756823
2010-01-21,31.944028151878573,24.964964287347378,39.04506617002376
2010-01-22,31.96068511638388,24.32948138674561,39.385887782475585
2010-01-25,31.996145118038314,24.575934375035494,39.47550851762232
2010-01-26,32.003274610288244,24.35124465257912,39.20735693112175
2010-01-27,31.99721159264985,24.342437578695165,39.03566202028535
2010-01-28,31.997405712334125,24.309796922306603,39.6147525378787
2010-01-29,32.01577854968228,24.768784318044315,39.15151507519051
2010-02-01,32.0574586388401,24.55534212053665,39.51823468260115
2010-02-02,32.06577679524406,24.936979808472703,39.74649251048352
2010-02-03,32.05987286185197,24.701300619478406,39.363970028180475
2010-02-04,32.05888312831461,24.41679060384306,39.20285950218584
2010-02-05,32.07445241821609,24.47561614624838,39.45551358682307
2010-02-08,32.095901517604375,24.54466480804039,39.27250116448397
2010-02-09,32.09308290109632,24.835081897309898,39.86794105952071
2010-02-10,32.07374933478738,24.888425965793903,39.90183076122125
2010-02-11,32.057057301537256,24.675265081418793,39.04012176668034
2010-02-12,32.054721238658615,25.02468122320411,39.49964908349548
2010-02-16,31.982604016254328,24.772800102208134,39.38448237169346
2010-02-17,31.936833780518864,25.02897030840925,39.67449845736865
2010-02-18,31.892706498016977,24.798893779555588,39.33210594894249
2010-02-19,31.86221348445522,23.737373078135285,39.26108991723327
2010-02-22,31.732088831783972,23.75175467196137,39.3780447709853
2010-02-23,31.67582840499487,24.283075691532538,39.216873332565775
2010-02-24,31.602408449482667,24.472917667117176,38.646430630147094
2010-02-25,31.531477324292087,24.084227739877406,38.60820012560314
2010-02-26,31.475230670861126,23.775035776036514,38.60611037455897
2010-03-01,31.275837737196245,23.449800885408614,38.55106410468612
2010-03-02,31.19959792977131,23.488505460995718,39.302138690849084
2010-03-03,31.10792077904539,23.47621030527859,38.49457612116318
2010-03-04,31.02052522508728,23.734941077303,38.69275226473438
2010-03-05,30.949661075037863,24.21925840067856,38.19440298476575
2010-03-08,30.71785278767795,23.299780403559936,37.90670484397182
2010-03-09,30.634697017135885,23.308920565041554,38.04403370064709
2010-03-10,30.538075409192324,23.474810805759468,37.88800403847761
2010-03-11,30.447720911166808,22.975476675482376,38.00869192560602
2010-03-12,30.375898172635715,22.34665012243975,38.08305311322061
2010-03-15,30.15339032619821,22.997350192231384,37.27310547085642
2010-03-16,30.077458215323134,23.148296397040028,37.77880085821789
2010-03-17,29.9901538148344,22.425820501433186,36.94472557556524
2010-03-18,29.91122469305914,23.189613550499185,37.27149287727486
2010-03-19,29.852943450492873,22.358394381051525,37.28181547195031
2010-03-22,29.68366840528581,22.644441761562607,37.90240464814837
2010-03-23,29.629573941191815,21.932490649953536,37.02990530262103
2010-03-24,29.566047487952904,22.199519465085654,37.13731632601658
2010-03-25,29.512735435924533,22.29722006408787,37.08618213990984
2010-03-26,29.481780936028667,22.166592243127845,37.026860802380924
2010-03-29,29.40299837555476,21.83170873888451,37.03664283565771
2010-03-30,29.38117194838144,22.03338263670444,36.60293735526864
2010-03-31,29.350526688358926,22.132286797995082,36.534831564365085
2010-04-01,29.3304075658524,21.64220036256251,36.42979187394629
2010-04-05,29.34993368609972,21.73058223385736,37.44146873685191
2010-04-06,29.357820493577382,21.704106625878936,36.81217408574646
2010-04-07,29.35516732743587,21.559708262773185,36.89450616013613
2010-04-08,29.361004704325325,22.3479124473436,36.74841324890276
2010-04-09,29.386866426722033,21.48265642245789,36.96473984516647
2010-04-12,29.458798455283766,22.393195182872574,36.785792701481434
2010-04-13,29.4789286177645,22.27908642478606,36.53220359490135
2010-04-14,29.48539429844469,22.22327437069992,37.55061251945549
2010-04-15,29.497229406413876,21.88561672187199,36.50965133256639
2010-04-16,29.52603251479748,21.825387035776156,36.755781871388685
2010-04-19,29.59001222699022,22.463464341757682,36.84429990907611
2010-04-20,29.602708047424183,22.4720608250703,37.18373849471311
2010-04-21,29.599880540923476,22.16053277559746,37.55998922121699
2010-04-22,29.600947308520468,22.577361147603302,36.9504549869364
2010-04-23,29.61792198396837,21.925624554124322,37.236525561496684
2010-04-26,29.644472518514476,22.488506656163683,36.8396020958932
2010-04-27,29.645530473491473,21.718046421049046,36.740306208776346
2010-04-28,29.63219594008362,22.37896738999116,36.93017138500294
2010-04-29,29.624271235956407,22.618313267047085,36.98847423710736
2010-04-30,29.634111798112208,22.351757648898573,36.90687642871787
2010-05-03,29.65298607674664,21.85138376496098,36.860726266955076
2010-05-04,29.6565899764656,21.66087793188002,37.11863730096317
2010-05-05,29.648433523813406,21.63995139707037,37.57596691709563
2010-05-06,29.64824932631627,22.393664479055133,37.47361387523252
2010-05-07,29.668243837273895,22.430943831877077,37.78484449395118
2010-05-10,29.72943793294686,22.28812379089773,36.718477191136955
2010-05-11,29.749886231870033,21.983503247563082,37.135361826218045
2010-05-12,29.75919234477375,23.076757249846725,36.721818055766676
2010-05-13,29.776573223739877,21.735291429054772,36.8011809699324
2010-05-14,29.813692553113007,22.757349700781944,37.10830061868016
2010-05-17,29.91806321101481,22.278834869322694,37.860470544558126
2010-05-18,29.94837290275562,22.041947453684575,37.428908243417546
2010-05-19,29.9644513961593,22.430310748772037,36.71012667619127
2010-05-20,29.985094669338938,22.380725238433847,37.664768479143355
2010-05-21,30.02161125472341,23.170792041676762,37.8663444039377
2010-05-25,30.11097068758407,22.701714181640366,37.49384008344806
2010-05-26,30.104735351484926,22.832602264283082,37.653394027581186
2010-05-27,30.09891394547079,23.081948632311224,37.37326850240954
2010-05-28,30.105110250157157,22.8893549990787,37.60643558969373
2010-05-31,30.072365133930326,23.066626128667565,37.820157377341765
2010-06-01,30.043705015321873,22.449025294678243,37.43376773078177
2010-06-02,29.99535082559697,21.96722896606233,37.49200657589709
2010-06-03,29.947024563031572,22.404608857657585,37.235380084122
2010-06-04,29.911089010655193,22.34936816356809,38.034694828704716
2010-06-07,29.761890629000046,22.46504038725658,36.836118616388084
2010-06-08,29.700221532238004,22.191263865309583,36.75960043196504
2010-06-09,29.622918552966592,21.856289495986378,36.87845987556257
2010-06-10,29.550311185122258,21.906414314572732,37.20250101868755
2010-06-11,29.49529369801212,22.671045180022364,36.58898768185662
2010-06-14,29.323993000458323,22.348593276462356,36.513787945450105
2010-06-15,29.26747414233091,21.527720864019596,37.06973085453713
2010-06-16,29.20170657824416,22.172768117319066,36.53842353411476
2010-06-17,29.146925581442787,21.921735387418025,36.61251636978338
2010-06-18,29.11581896739608,21.95224215388713,36.95141869835746
2010-06-21,29.04910645943171,22.077997142294915,36.33288037916339
2010-06-22,29.03670792349483,21.203860228187285,36.26106599038852
2010-06-23,29.01863845049089,21.804575622638065,36.5727887601692
2010-06-24,29.014405571338827,21.759342855852772,36.27737487945655
2010-06-25,29.035923708278283,21.730715043542876,36.47594218875125
2010-06-28,29.131439326231842,21.830382493718954,36.706262981708775
2010-06-29,29.171848706666466,21.550659681027543,36.484450218064914
2010-06-30,29.204637160242033,21.42455708515056,36.3558413197231
2010-07-02,29.31491053341383,21.435665033404618,36.375730364556674
2010-07-05,29.518986304447164,22.56656313711502,37.08837055452136
2010-07-06,29.585465754968585,22.47581208420133,37.446577587351406
2010-07-07,29.638750562248557,21.919678288861963,37.25834537309788
2010-07-08,29.69745136034013,22.504377453931166,37.19349172290899
2010-07-09,29.77274013212567,22.271080212665886,37.117758789416904
2010-07-12,29.9696713361323,21.966690475607564,37.714672040100204
2010-07-13,30.02314818670909,22.8801530446344,37.27331233838864
2010-07-14,30.058683069022386,22.50356597804901,37.531278685597734
2010-07-15,30.095330572530703,22.57920702168341,37.392639187789285
2010-07-16,30.144764395371983,22.448403448554814,38.11122957914534
2010-07-19,30.246983872981463,23.070996956527015,37.541992080338
2010-07-20,30.265201416898936,22.69521430470228,37.97412254639778
2010-07-21,30.264677366815867,22.97869641434179,37.70061894131598
2010-07-22,30.265089561421682,22.481779520483176,37.69683345298158
2010-07-23,30.27871850350022,23.42262713083398,37.63222168618434
2010-07-26,30.28174145766502,23.093157411706073,38.238940560899366
2010-07-27,30.271313697770907,23.108746508205595,37.75083942957131
2010-07-28,30.245073966962597,22.774239585032714,37.65941219764015
2010-07-29,30.2230490545704,22.88461517073649,37.79244158204154
2010-07-30,30.217808470904306,22.92136541416271,37.95451466403838
2010-08-03,30.17420224391405,22.570448036163448,37.45583484346736
2010-08-04,30.14908703404763,23.211247468063892,37.85613039973746
2010-08-05,30.13218857427742,22.30346305457289,37.70463140389168
2010-08-06,30.135944141386815,22.207148361043323,37.842932056264765
2010-08-09,30.15387028501196,23.306773132756472,37.553420091233114
2010-08-10,30.162690411140016,22.54977732449602,37.66822748254332
2010-08-11,30.162314268836305,22.69757059929932,37.12874655155351
2010-08-12,30.172322355227138,21.847185144861434,37.36420739904274
2010-08-13,30.204761354129587,23.02905146127127,37.47039201212218
2010-08-16,30.31526789351791,23.102075271074543,37.93047701877753
2010-08-17,30.355707853057794,22.940876332318254,37.53019645513412
2010-08-18,30.38662004417579,23.25099615200125,37.8621880714225
2010-08-19,30.427166343537394,23.06696155933607,37.650583716091454
2010-08-20,30.48898658791873,23.06342154871032,37.753102619919986
2010-08-23,30.676891713119183,23.31797223462051,38.48624421425708
2010-08-24,30.738397729232307,23.616804091622743,38.75270066580613
2010-08-25,30.78750417425073,24.100337194241934,38.172588205061444
2010-08-26,30.843119358919186,23.830104728810753,37.840579276749295
2010-08-27,30.916666673937193,23.33416019784326,38.65136875278833
2010-08-30,31.118145038181474,23.474039055031657,38.68899043050429
2010-08-31,31.176669511982574,23.83418312478803,38.81845483207746
2010-09-01,31.21900226251425,23.198803884881027,38.52113287533593
2010-09-02,31.264096989418253,24.301169660688753,38.55095753942172
2010-09-03,31.323468348620693,23.644978719692784,38.39426081948641
2010-09-07,31.49358160610047,24.065833044415662,38.38338149850079
2010-09-08,31.506345576738294,24.33666279865724,38.653472051759536
2010-09-09,31.519639684243792,24.247218460958035,39.59880152465816
2010-09-10,31.545334630790624,24.007544040464914,38.75933372632236
2010-09-13,31.575517395511593,24.371550311401187,38.95647142308147
2010-09-14,31.569787749744624,24.441071583731972,39.17095585396617
2010-09-15,31.545441239074506,23.979643472968792,39.08860312691045
2010-09-16,31.522167680762774,24.11827060540971,38.80759289580565
2010-09-17,31.51223323330484,23.8390081417661,38.94773720889481
2010-09-20,31.444808981864952,23.856813028355347,38.210351017777946
2010-09-21,31.41071718349162,23.9380578077338,38.736264509070274
2010-09-22,31.360550763623294,24.055831782579634,38.94175432663087
2010-09-23,31.314214586660825,23.728540831030628,38.74070443250915
2010-09-24,31.284147397721924,23.896882718524584,38.247876529984616
2010-09-27,31.17496876040435,23.67277749819435,38.59636956909654
2010-09-28,31.133308198399373,23.406865529742777,38.47608353970082
2010-09-29,31.078709381142616,22.884610610969286,38.99969120082008
2010-09-30,31.030995782878907,23.563199365428446,38.58810172749649
2010-10-01,31.002490617804686,23.3530114984491,38.019488181504656
2010-10-04,30.914061201375432,23.18483141880609,38.2077219123209
2010-10-05,30.884042909591233,23.414628879327758,38.75972926436121
2010-10-06,30.843101919444983,23.179081241847225,38.3367305969164
2010-10-07,30.810844915869644,23.7133420126674,38.44869536259643
2010-10-08,30.79938015512019,23.1857018241648,38.133529370135584
2010-10-12,30.760952575391297,23.390812860682832,38.103982898061595
2010-10-13,30.742116979817453,23.351418592136728,38.48326960658278
2010-10-14,30.73252584600386,22.854772390287703,37.97126029525631
2010-10-15,30.744183808004063,23.346108839952144,38.23039146964197
2010-10-18,30.785720643464668,23.705324678263437,38.207201221057474
2010-10-19,30.80141210763724,23.991564494344075,38.588910334593976
2010-10-20,30.80706322108811,23.142204159606745,38.54876015751221
2010-10-21,30.82213323029136,22.994123697461124,38.329070272330114
2010-10-22,30.858603295863524,22.97113187777101,38.27520580690823
2010-10-25,30.97512955404778,23.615821730791552,38.35843688220525
2010-10-26,31.015809762309242,22.939976103098697,38.8804410554632
2010-10-27,31.046296315527233,23.930445146616737,37.92230138928738
